location,latitude,longitude,,
The University of Hong Kong,"22.28316824444163, ",114.1367198773876,,HKU
Ho Koon Nature Education cum Astronomical Centre,"22.38377864187607, ",114.10808853368688,,HKn
Hong Kong Space Museum,"22.29444456986258, ",114.17191521148303,,TST
Hong Kong Space Museum Sai Kung iObservatory,"22.37657742023174, ",114.33604880963259,,iObs
"King's Park Meteorological Station, Hong Kong Observatory","22.31174431719995, ",114.17285906915548,,KP
"Shek Pik Tide Gauge Station, Hong Kong Observatory","22.232602496063414, ",113.89949596790314,,SH
"Cape D'Aguilar Radiation Monitoring Station, Hong Kong Observatory","22.209956000203437, ",114.25789943821088,,Cap
"Tsim Bei Tsui Seismological Station, Hong Kong Observatory","22.4860780110886, ",114.01137579588863,,TBT
Mai Po Nature Reserve,"22.492081144966715, 
",114.03708786095474,,MP
Fanling Kau Yan College,"22.48840923863297, 
",114.13849028672955,,FKYC
Lingnan Hang Yee Memorial Secondary School,"22.263820771768874, 
",114.2511933675658,,LHY
