location,device_code
The University of Hong Kong,HKU
Ho Koon Nature Education cum Astronomical Centre,HKn
Hong Kong Space Museum,TST
Hong Kong Space Museum Sai Kung iObservatory,iObs
"King's Park Meteorological Station, Hong Kong Observatory",KP
"Shek Pik Tide Gauge Station, Hong Kong Observatory",SH
"Cape D'Aguilar Radiation Monitoring Station, Hong Kong Observatory",Cap
"Tsim Bei Tsui Seismological Station, Hong Kong Observatory",TBT
Mai Po Nature Reserve,MP
Fanling Kau Yan College,FKYC
Lingnan Hang Yee Memorial Secondary School,LHY
