location,month,nsb
"Cape D'Aguilar Radiation Monitoring Station, Hong Kong Observatory",1,9.895954501159313
"Cape D'Aguilar Radiation Monitoring Station, Hong Kong Observatory",2,9.62518657225412
"Cape D'Aguilar Radiation Monitoring Station, Hong Kong Observatory",3,9.125182094507442
"Cape D'Aguilar Radiation Monitoring Station, Hong Kong Observatory",4,8.672998715233167
"Cape D'Aguilar Radiation Monitoring Station, Hong Kong Observatory",5,8.358842130023746
"Cape D'Aguilar Radiation Monitoring Station, Hong Kong Observatory",6,8.204217389290346
"Cape D'Aguilar Radiation Monitoring Station, Hong Kong Observatory",7,8.312665442000089
"Cape D'Aguilar Radiation Monitoring Station, Hong Kong Observatory",8,8.695867793608269
"Cape D'Aguilar Radiation Monitoring Station, Hong Kong Observatory",9,9.040631879897678
"Cape D'Aguilar Radiation Monitoring Station, Hong Kong Observatory",10,9.458623862768247
"Cape D'Aguilar Radiation Monitoring Station, Hong Kong Observatory",11,9.91788544676916
"Cape D'Aguilar Radiation Monitoring Station, Hong Kong Observatory",12,10.114642561104016
Fanling Kau Yan College,1,8.471903884538616
Fanling Kau Yan College,6,8.734983443354912
Fanling Kau Yan College,7,7.522107324851803
Fanling Kau Yan College,8,7.790780638661762
Fanling Kau Yan College,9,8.804012176927653
Fanling Kau Yan College,10,8.81045430869842
Fanling Kau Yan College,11,8.927474830372313
Fanling Kau Yan College,12,9.37000439803329
Ho Koon Nature Education cum Astronomical Centre,1,13.414598870414023
Ho Koon Nature Education cum Astronomical Centre,2,12.735657908565422
Ho Koon Nature Education cum Astronomical Centre,3,12.45632710531728
Ho Koon Nature Education cum Astronomical Centre,4,11.859179717676803
Ho Koon Nature Education cum Astronomical Centre,5,11.263259765532299
Ho Koon Nature Education cum Astronomical Centre,6,11.2406244993379
Ho Koon Nature Education cum Astronomical Centre,7,11.714740772382806
Ho Koon Nature Education cum Astronomical Centre,8,12.195679819010252
Ho Koon Nature Education cum Astronomical Centre,9,12.748589435479914
Ho Koon Nature Education cum Astronomical Centre,10,13.411949122061277
Ho Koon Nature Education cum Astronomical Centre,11,13.756754463409848
Ho Koon Nature Education cum Astronomical Centre,12,14.241253540068033
Hong Kong Space Museum,1,12.999992564114734
Hong Kong Space Museum,2,12.367669953931582
Hong Kong Space Museum,3,12.118600041133382
Hong Kong Space Museum,4,11.798205924666492
Hong Kong Space Museum,5,11.075323861658704
Hong Kong Space Museum,6,11.167011231179192
Hong Kong Space Museum,7,11.875161105633131
Hong Kong Space Museum,8,12.329133970383497
Hong Kong Space Museum,9,12.739410639550092
Hong Kong Space Museum,10,13.4053836494835
Hong Kong Space Museum,11,13.245825271826032
Hong Kong Space Museum,12,14.186834725914672
Hong Kong Space Museum Sai Kung iObservatory,1,13.802250493599134
Hong Kong Space Museum Sai Kung iObservatory,2,13.488781343152725
Hong Kong Space Museum Sai Kung iObservatory,6,11.185775329512255
