scientific,month,gno,count,longitude,latitude
Abisara echerius,4,1482,2,113.9217717,22.40007653
Abisara echerius,4,2609,1,113.9899447,22.2556809
Abisara echerius,4,1575,1,114.145139,22.3912441
Abisara echerius,4,878,1,114.1742702,22.48155183
Abisara echerius,4,948,2,114.1742704,22.47252141
Abisara echerius,5,2531,1,113.9123158,22.26460368
Abisara echerius,5,2532,1,113.9220179,22.26461919
Abisara echerius,5,1773,1,114.0286365,22.36408778
Abisara echerius,5,452,2,114.1159431,22.53572263
Abisara echerius,5,676,1,114.2520227,22.5086255
Abisara echerius,5,677,1,114.2617418,22.50862067
Abisara echerius,5,1806,1,114.3490353,22.36406403
Abisara echerius,5,1528,1,114.3685028,22.40016411
Abisara echerius,6,2534,1,113.9414221,22.26464846
Abisara echerius,6,882,1,114.2131391,22.48154776
Abisara echerius,6,1515,1,114.2422527,22.40026448
Abisara echerius,6,1375,1,114.2422611,22.41832546
Abisara echerius,7,248,1,114.1742687,22.56282515
Abisara echerius,7,1585,1,114.2422485,22.39123398
Abisara echerius,7,1515,1,114.2422527,22.40026448
Abisara echerius,7,1452,1,114.3102422,22.40925316
Abisara echerius,7,1523,1,114.3199451,22.40021438
Abisara echerius,8,1985,1,114.0480795,22.33701279
Abisara echerius,8,1933,1,114.2228118,22.34608798
Abisara echerius,9,1001,1,114.0090993,22.4634038
Abisara echerius,9,1004,1,114.0382471,22.46343147
Abisara echerius,9,1425,1,114.048013,22.40925688
Abisara echerius,9,1286,1,114.0577098,22.42732525
Abisara echerius,9,2338,1,114.077233,22.29188038
Abisara echerius,9,948,2,114.1742704,22.47252141
Abisara echerius,10,2320,1,113.9025609,22.2916792
Abisara echerius,10,2322,1,113.9219688,22.29171084
Abisara echerius,10,1561,1,114.009186,22.39116032
Abisara echerius,10,1915,1,114.0480712,22.34604333
Abisara echerius,10,1985,1,114.0480795,22.33701279
Abisara echerius,10,3336,1,114.2518389,22.16546395
Abisara echerius,10,608,1,114.271467,22.51764562
Abisara echerius,11,860,1,113.9993603,22.48145416
Abisara echerius,11,452,1,114.1159431,22.53572263
Abisara echerius,11,322,1,114.213158,22.55379074
Abisara echerius,12,2555,1,114.1451676,22.26481593
Abraximorpha davidii,5,676,1,114.2520227,22.5086255
Abroscopus albogularis,1,1102,1,114.3102854,22.45440539
Abscondita terminalis,4,878,3,114.1742702,22.48155183
Abscondita terminalis,9,801,1,114.106245,22.4905668
Abscondita terminalis,9,878,4,114.1742702,22.48155183
Acanthopagrus chinshira,8,2678,1,113.9802558,22.24663884
Acanthopagrus latus,1,1388,1,114.3685275,22.418225
Acanthopagrus latus,7,542,1,114.3103547,22.52664843
Acanthopagrus latus,7,1457,1,114.358803,22.40920578
Acanthopagrus latus,7,1528,1,114.3685028,22.40016411
Acanthopagrus latus,12,2257,1,113.9704755,22.30081033
Acanthopagrus latus,12,1985,2,114.0480795,22.33701279
Acanthopagrus schlegelii,7,1457,1,114.358803,22.40920578
Acanthopagrus schlegelii,8,2678,1,113.9802558,22.24663884
Accipiter gularis,10,1561,1,114.009186,22.39116032
Accipiter gularis,11,931,1,114.0090884,22.47243418
Accipiter nisus,10,931,1,114.0090884,22.47243418
Accipiter nisus,11,322,1,114.213158,22.55379074
Accipiter soloensis,4,1617,1,113.8732537,22.38193186
Accipiter soloensis,5,389,1,114.1839907,22.54476434
Accipiter soloensis,5,3266,1,114.2518437,22.1744947
Accipiter trivirgatus,6,942,1,114.1159707,22.47250994
Accipiter trivirgatus,10,930,1,113.9993718,22.47242379
Accipiter trivirgatus,11,2677,1,113.9705549,22.24662682
Accipiter virgatus,1,878,1,114.1742702,22.48155183
Accipiter virgatus,5,1705,1,114.0480463,22.37313491
Accipiter virgatus,7,930,2,113.9993718,22.47242379
Accipiter virgatus,9,930,1,113.9993718,22.47242379
Accipiter virgatus,9,2545,1,114.0481457,22.26476805
Accipiter virgatus,9,2413,1,114.1257566,22.28287227
Acentrogobius pflaumii,9,2458,1,113.8831908,22.27358421
Acisoma panorpoides,4,930,4,113.9993718,22.47242379
Acisoma panorpoides,4,1004,2,114.0382471,22.46343147
Acisoma panorpoides,4,1074,1,114.038256,22.45440106
Acisoma panorpoides,4,879,2,114.1839874,22.48155169
Acisoma panorpoides,5,860,1,113.9993603,22.48145416
Acisoma panorpoides,5,930,8,113.9993718,22.47242379
Acisoma panorpoides,5,1004,2,114.0382471,22.46343147
Acisoma panorpoides,5,452,2,114.1159431,22.53572263
Acisoma panorpoides,5,879,1,114.1839874,22.48155169
Acisoma panorpoides,6,930,3,113.9993718,22.47242379
Acisoma panorpoides,6,1004,2,114.0382471,22.46343147
Acisoma panorpoides,6,1074,1,114.038256,22.45440106
Acisoma panorpoides,6,522,1,114.115947,22.52669227
Acisoma panorpoides,6,878,2,114.1742702,22.48155183
Acisoma panorpoides,6,879,2,114.1839874,22.48155169
Acisoma panorpoides,6,532,2,114.2131509,22.5266997
Acisoma panorpoides,7,930,3,113.9993718,22.47242379
Acisoma panorpoides,7,878,1,114.1742702,22.48155183
Acisoma panorpoides,7,879,2,114.1839874,22.48155169
Acisoma panorpoides,7,612,1,114.310346,22.51761808
Acisoma panorpoides,8,930,2,113.9993718,22.47242379
Acisoma panorpoides,8,878,1,114.1742702,22.48155183
Acisoma panorpoides,8,879,1,114.1839874,22.48155169
Acisoma panorpoides,9,930,4,113.9993718,22.47242379
Acisoma panorpoides,10,930,2,113.9993718,22.47242379
Acraea issoria,4,878,1,114.1742702,22.48155183
Acridotheres cristatellus,1,930,1,113.9993718,22.47242379
Acridotheres cristatellus,1,656,2,114.0576403,22.50859894
Acridotheres cristatellus,3,860,1,113.9993603,22.48145416
Acridotheres cristatellus,3,930,4,113.9993718,22.47242379
Acridotheres cristatellus,3,931,3,114.0090884,22.47243418
Acridotheres cristatellus,4,1138,2,113.979977,22.44531008
Acridotheres cristatellus,4,860,1,113.9993603,22.48145416
Acridotheres cristatellus,4,930,3,113.9993718,22.47242379
Acridotheres cristatellus,4,931,3,114.0090884,22.47243418
Acridotheres cristatellus,4,1004,2,114.0382471,22.46343147
Acridotheres cristatellus,4,1074,1,114.038256,22.45440106
Acridotheres cristatellus,4,656,2,114.0576403,22.50859894
Acridotheres cristatellus,4,951,2,114.2034202,22.47251924
Acridotheres cristatellus,5,930,3,113.9993718,22.47242379
Acridotheres cristatellus,5,931,2,114.0090884,22.47243418
Acridotheres cristatellus,5,1004,4,114.0382471,22.46343147
Acridotheres cristatellus,5,1074,1,114.038256,22.45440106
Acridotheres cristatellus,5,656,2,114.0576403,22.50859894
Acridotheres cristatellus,5,727,1,114.0673665,22.49957546
