OBJECTID,scientific,family,date,OBJECTID_1,gno,Shape_Length,Shape_Area,geometry
1,Pyrocoelia lunata,Lampyridae,2024-5-27,453002,1435,0.03748477161158434,8.770318378166683e-05,"[[[114.145134913, 22.409305105, 0], [114.145136961, 22.400274607, 0], [114.154848534, 22.400276219, 0], [114.154847114, 22.409306718, 0], [114.145134913, 22.409305105, 0]]]"
2,Pyrocoelia lunata,Lampyridae,2024-5-27,453003,1366,0.03748600925595179,8.770876586660534e-05,"[[[114.154845692, 22.418337207, 0], [114.154847114, 22.409306718, 0], [114.164559315, 22.409307747, 0], [114.164558521, 22.418338237, 0], [114.154845692, 22.418337207, 0]]]"
3,Pyrocoelia lunata,Lampyridae,2024-5-27,453004,1435,0.03748477161158434,8.770318378166683e-05,"[[[114.145134913, 22.409305105, 0], [114.145136961, 22.400274607, 0], [114.154848534, 22.400276219, 0], [114.154847114, 22.409306718, 0], [114.145134913, 22.409305105, 0]]]"
4,Pyrocoelia lunata,Lampyridae,2024-5-27,453005,1436,0.03748477325544732,8.770319149527433e-05,"[[[114.154847114, 22.409306718, 0], [114.154848534, 22.400276219, 0], [114.164560108, 22.400277248, 0], [114.164559315, 22.409307747, 0], [114.154847114, 22.409306718, 0]]]"
5,Pyrocoelia lunata,Lampyridae,2024-5-27,453006,1436,0.03748477325544732,8.770319149527433e-05,"[[[114.154847114, 22.409306718, 0], [114.154848534, 22.400276219, 0], [114.164560108, 22.400277248, 0], [114.164559315, 22.409307747, 0], [114.154847114, 22.409306718, 0]]]"
6,Pyrocoelia lunata,Lampyridae,2024-5-27,453007,1366,0.03748600925595179,8.770876586660534e-05,"[[[114.154845692, 22.418337207, 0], [114.154847114, 22.409306718, 0], [114.164559315, 22.409307747, 0], [114.164558521, 22.418338237, 0], [114.154845692, 22.418337207, 0]]]"
7,Pyrocoelia lunata,Lampyridae,2024-5-27,453008,1366,0.03748600925595179,8.770876586660534e-05,"[[[114.154845692, 22.418337207, 0], [114.154847114, 22.409306718, 0], [114.164559315, 22.409307747, 0], [114.164558521, 22.418338237, 0], [114.154845692, 22.418337207, 0]]]"
8,Pyrocoelia lunata,Lampyridae,2024-5-27,453009,1366,0.03748600925595179,8.770876586660534e-05,"[[[114.154845692, 22.418337207, 0], [114.154847114, 22.409306718, 0], [114.164559315, 22.409307747, 0], [114.164558521, 22.418338237, 0], [114.154845692, 22.418337207, 0]]]"
9,Pyrocoelia lunata,Lampyridae,2024-5-29,453010,1241,0.03748839782700333,8.771952405007591e-05,"[[[114.300554032, 22.43635226, 0], [114.300546029, 22.427321811, 0], [114.310259459, 22.42731408, 0], [114.310268091, 22.436344526, 0], [114.300554032, 22.43635226, 0]]]"
10,Pyrocoelia lunata,Lampyridae,2024-5-29,453011,1241,0.03748839782700333,8.771952405007591e-05,"[[[114.300554032, 22.43635226, 0], [114.300546029, 22.427321811, 0], [114.310259459, 22.42731408, 0], [114.310268091, 22.436344526, 0], [114.300554032, 22.43635226, 0]]]"
11,Pyrocoelia lunata,Lampyridae,2024-5-29,453012,1241,0.03748839782700333,8.771952405007591e-05,"[[[114.300554032, 22.43635226, 0], [114.300546029, 22.427321811, 0], [114.310259459, 22.42731408, 0], [114.310268091, 22.436344526, 0], [114.300554032, 22.43635226, 0]]]"
12,Pyrocoelia lunata,Lampyridae,2024-5-27,453013,1505,0.037483536610915524,8.769761425330647e-05,"[[[114.145136961, 22.400274607, 0], [114.145139008, 22.391244099, 0], [114.154849954, 22.39124571, 0], [114.154848534, 22.400276219, 0], [114.145136961, 22.400274607, 0]]]"
13,Pyrocoelia lunata,Lampyridae,2024-5-27,453014,1435,0.03748477161158434,8.770318378166683e-05,"[[[114.145134913, 22.409305105, 0], [114.145136961, 22.400274607, 0], [114.154848534, 22.400276219, 0], [114.154847114, 22.409306718, 0], [114.145134913, 22.409305105, 0]]]"
14,Pyrocoelia lunata,Lampyridae,2024-5-17,453015,1295,0.03748724061285462,8.771431794386371e-05,"[[[114.145130814, 22.427366071, 0], [114.145132864, 22.418335593, 0], [114.154845692, 22.418337207, 0], [114.15484427, 22.427367685, 0], [114.145130814, 22.427366071, 0]]]"
15,Rhagophthalmus motschulskyi,Rhagophthalmidae,2024-4-15,453016,809,0.03749591413204792,8.775343348075633e-05,"[[[114.183987884, 22.490582099, 0], [114.18398742, 22.48155169, 0], [114.193704653, 22.481550966, 0], [114.193705747, 22.490581375, 0], [114.183987884, 22.490582099, 0]]]"
16,Pyrocoelia lunata,Lampyridae,2024-5-10,453017,2564,0.037465079024826306,8.76143722484726e-05,"[[[114.232487347, 22.264809481, 0], [114.232483776, 22.255778825, 0], [114.242185348, 22.255775213, 0], [114.242189541, 22.264805867, 0], [114.232487347, 22.264809481, 0]]]"
17,Pyrocoelia lunata,Lampyridae,2024-5-29,453018,1241,0.03748839782700333,8.771952405007591e-05,"[[[114.300554032, 22.43635226, 0], [114.300546029, 22.427321811, 0], [114.310259459, 22.42731408, 0], [114.310268091, 22.436344526, 0], [114.300554032, 22.43635226, 0]]]"
18,Pyrocoelia lunata,Lampyridae,2024-6-2,453019,1505,0.037483536610915524,8.769761425330647e-05,"[[[114.145136961, 22.400274607, 0], [114.145139008, 22.391244099, 0], [114.154849954, 22.39124571, 0], [114.154848534, 22.400276219, 0], [114.145136961, 22.400274607, 0]]]"
19,Pyrocoelia lunata,Lampyridae,2024-5-29,453020,1240,0.03748840981912499,8.77195799665322e-05,"[[[114.29083997, 22.43635941, 0], [114.290832594, 22.427328958, 0], [114.300546029, 22.427321811, 0], [114.300554032, 22.43635226, 0], [114.29083997, 22.43635941, 0]]]"
20,Pyrocoelia lunata,Lampyridae,2024-5-29,453021,1241,0.03748839782700333,8.771952405007591e-05,"[[[114.300554032, 22.43635226, 0], [114.300546029, 22.427321811, 0], [114.310259459, 22.42731408, 0], [114.310268091, 22.436344526, 0], [114.300554032, 22.43635226, 0]]]"
21,Pyrocoelia lunata,Lampyridae,2024-5-29,453022,1241,0.03748839782700333,8.771952405007591e-05,"[[[114.300554032, 22.43635226, 0], [114.300546029, 22.427321811, 0], [114.310259459, 22.42731408, 0], [114.310268091, 22.436344526, 0], [114.300554032, 22.43635226, 0]]]"
22,Pyrocoelia lunata,Lampyridae,2024-6-2,453023,1223,0.037488470801230786,8.771986484649346e-05,"[[[114.125700596, 22.436391555, 0], [114.125703905, 22.427361089, 0], [114.135417358, 22.427363872, 0], [114.135414679, 22.436394339, 0], [114.125700596, 22.436391555, 0]]]"
